,PRICE,SOLD_MONTH_Number,SOLD_DATE_DAY,SOLD_YEAR,PROPERTY_TYPE,BEDS,BATHS,SQUARE_FEET,LOT_SIZE,YEAR_BUILT,LOCATION
134057,889900,12,12,2019,1,3.0,2.0,2080.0,3750.0,1950.0,19
134058,1112030,2,14,2020,1,3.0,2.0,2210.0,7200.0,1940.0,19
134059,1700000,11,6,2020,1,5.0,3.5,3270.0,5801.0,2010.0,19
134060,1088000,2,22,2021,1,3.0,2.0,1850.0,5000.0,1949.0,19
134061,1173000,6,12,2019,1,2.0,2.5,1840.0,6259.0,1960.0,19
134062,387000,10,9,2020,0,2.0,2.0,1029.0,33739.0,1968.0,19
134063,1050000,11,2,2020,1,3.0,2.0,2040.0,7200.0,1941.0,19
134064,945000,11,16,2020,1,2.0,0.5,1660.0,5280.0,1954.0,19
134065,1385000,1,29,2021,1,6.0,4.5,4640.0,6000.0,1999.0,19
134066,1575000,6,24,2020,1,5.0,3.0,2960.0,5102.0,1952.0,19
134067,1075000,12,10,2020,1,3.0,2.0,2860.0,9512.0,1937.0,19
134068,1375000,8,6,2020,1,5.0,3.0,2977.0,7680.0,1927.0,19
134069,650000,3,2,2021,3,2.0,2.0,965.0,880.0,2020.0,19
134070,975000,10,23,2019,1,5.0,2.0,2470.0,6000.0,1940.0,19
134071,325000,10,10,2019,0,1.0,1.0,695.0,23400.0,1970.0,19
134072,755000,12,24,2020,3,2.0,2.0,1504.0,1116.0,2017.0,19
134073,295000,11,30,2017,2,3.1275665851706007,2.315704532026172,2589.0644155844157,85458.0,1984.2786715101195,19
134074,532000,11,30,2017,2,3.1275665851706007,2.315704532026172,2589.0644155844157,105667.0,1984.2786715101195,19
134075,699950,12,9,2019,3,2.0,2.5,1331.0,551.0,2019.0,19
134076,645000,8,5,2019,0,2.0,2.0,1039.0,18002.0,2003.0,19
134077,2250000,6,22,2018,1,5.0,5.0,4616.0,5679.0,1948.0,19
134078,2045000,2,22,2018,1,4.0,3.5,3730.0,4853.0,2018.0,19
134079,1875000,8,14,2019,1,5.0,4.0,4240.0,10000.0,1942.0,19
134080,2050000,7,27,2018,1,5.0,3.5,3750.0,6000.0,2018.0,19
134081,1205000,3,27,2020,1,4.0,2.0,2410.0,6720.0,1958.0,19
134082,932000,3,18,2019,1,3.0,2.0,1980.0,5580.0,1941.0,19
134083,725000,11,16,2020,1,3.0,2.0,2050.0,6853.0,1945.0,19
134084,1252000,11,2,2020,1,4.0,3.0,3160.0,5000.0,1926.0,19
134085,1350000,5,16,2018,1,4.0,2.0,2800.0,6160.0,1929.0,19
134086,717000,12,20,2019,3,2.0,2.5,1304.0,679.0,2019.0,19
134087,1700000,5,4,2018,1,5.0,3.5,3491.0,6000.0,2018.0,19
134088,875000,10,23,2020,1,4.0,2.0,2368.0,5280.0,1943.0,19
